time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/value_loss,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/clip_fraction
10,1,192,2048,,,,,,,,,,
10,2,383,4096,0.0,86.17468185424805,-2.079437828063965,10,0.2,0.0003,-7.598763331770897e-05,9.586482e-06,39.887916564941406,0.0
10,3,576,6144,0.0,73.66995353698731,-2.079432502388954,20,0.2,0.0003,-4.873175930697471e-05,4.6190107e-06,25.53237533569336,0.0
10,4,772,8192,5.960464477539063e-08,59.230584192276,-2.0794283121824266,30,0.2,0.0003,-0.00019330338109284638,1.6295759e-05,17.459245681762695,0.0
10,5,963,10240,-1.1920928955078125e-07,48.438542819023134,-2.0793953776359557,40,0.2,0.0003,-0.0001592780536157079,1.6655773e-05,15.095036506652832,0.0
10,6,1151,12288,0.0,42.33224694728851,-2.079357680678368,50,0.2,0.0003,-4.2510946514084935e-05,6.2889303e-06,13.082695960998535,0.0
10,7,1341,14336,5.960464477539063e-08,39.10826687812805,-2.0793461441993712,60,0.2,0.0003,-4.788488586200401e-05,7.855939e-06,13.497832298278809,0.0
10,8,1531,16384,0.0,36.79741580486298,-2.0793290197849275,70,0.2,0.0003,-0.00013685946178156882,2.3645815e-05,15.481255531311035,0.0
10,9,1748,18432,0.0,34.640719866752626,-2.079266908764839,80,0.2,0.0003,-0.0002406167346634902,5.091005e-05,15.788284301757812,0.0
10,10,1952,20480,1.1920928955078125e-07,32.63397474288941,-2.079068422317505,90,0.2,0.0003,-0.00021629272669088095,7.900622e-05,14.059309005737305,0.0
